Date,Close
2018-12-13,325.4700012207031
2018-12-14,318.75
2018-12-17,316.1300048828125
2018-12-18,328.05999755859375
2018-12-19,319.54998779296875
2018-12-20,313.04998779296875
2018-12-21,304.54998779296875
2018-12-24,294.1600036621094
2018-12-26,313.92999267578125
2018-12-27,317.1400146484375
2018-12-28,316.3800048828125
2018-12-31,322.5
2019-01-02,323.80999755859375
2019-01-03,310.8999938964844
2019-01-04,327.0799865722656
2019-01-07,328.1099853515625
2019-01-08,340.5299987792969
2019-01-09,343.8299865722656
2019-01-10,352.6099853515625
2019-01-11,352.8999938964844
2019-01-14,350.3599853515625
2019-01-15,352.239990234375
2019-01-16,352.05999755859375
2019-01-17,359.0899963378906
2019-01-18,364.7300109863281
2019-01-22,357.8999938964844
2019-01-23,358.6099853515625
2019-01-24,358.2699890136719
2019-01-25,364.2000122070313
2019-01-28,362.9700012207031
2019-01-29,364.9100036621094
2019-01-30,387.7200012207031
2019-01-31,385.6199951171875
2019-02-01,387.4299926757813
2019-02-04,397.0
2019-02-05,410.1799926757813
2019-02-06,411.1099853515625
2019-02-07,405.1700134277344
2019-02-08,404.9100036621094
2019-02-11,403.9500122070313
2019-02-12,410.7200012207031
2019-02-13,410.5799865722656
2019-02-14,409.8200073242187
2019-02-15,417.9700012207031
2019-02-19,416.260009765625
2019-02-20,421.5499877929687
2019-02-21,417.5799865722656
2019-02-22,424.0499877929687
2019-02-25,426.8699951171875
2019-02-26,426.7699890136719
2019-02-27,435.44000244140625
2019-02-28,439.9599914550781
2019-03-01,440.6199951171875
2019-03-04,432.69000244140625
2019-03-05,430.1199951171875
2019-03-06,424.4599914550781
2019-03-07,422.55999755859375
2019-03-08,422.5400085449219
2019-03-11,400.010009765625
2019-03-12,375.4100036621094
2019-03-13,377.1400146484375
2019-03-14,373.2999877929687
2019-03-15,378.989990234375
2019-03-18,372.2799987792969
2019-03-19,373.4299926757813
2019-03-20,376.1600036621094
2019-03-21,372.7000122070313
2019-03-22,362.1700134277344
2019-03-25,370.4599914550781
2019-03-26,370.3800048828125
2019-03-27,374.2099914550781
2019-03-28,374.44000244140625
2019-03-29,381.4200134277344
2019-04-01,391.5400085449219
2019-04-02,390.75
2019-04-03,384.739990234375
2019-04-04,395.8599853515625
2019-04-05,391.9299926757813
2019-04-08,374.5199890136719
2019-04-09,369.0400085449219
2019-04-10,364.94000244140625
2019-04-11,370.1600036621094
2019-04-12,379.6400146484375
2019-04-15,375.4599914550781
2019-04-16,381.7200012207031
2019-04-17,377.5199890136719
2019-04-18,380.0700073242187
2019-04-22,375.1700134277344
2019-04-23,374.0199890136719
2019-04-24,375.4599914550781
2019-04-25,382.7999877929687
2019-04-26,380.7900085449219
2019-04-29,379.0499877929687
2019-04-30,377.69000244140625
2019-05-01,376.7999877929687
2019-05-02,375.7999877929687
2019-05-03,376.4599914550781
2019-05-06,371.6000061035156
2019-05-07,357.2300109863281
2019-05-08,359.75
2019-05-09,354.1300048828125
2019-05-10,354.6700134277344
2019-05-13,337.3699951171875
2019-05-14,343.0400085449219
2019-05-15,345.6400146484375
2019-05-16,353.80999755859375
2019-05-17,355.0199890136719
2019-05-20,352.7900085449219
2019-05-21,358.75
2019-05-22,352.7799987792969
2019-05-23,350.54998779296875
2019-05-24,354.8999938964844
2019-05-28,354.8800048828125
2019-05-29,348.79998779296875
2019-05-30,349.8699951171875
2019-05-31,341.6099853515625
2019-06-03,338.8900146484375
2019-06-04,344.6199951171875
2019-06-05,348.75
2019-06-06,350.6400146484375
2019-06-07,353.70001220703125
2019-06-10,353.79998779296875
2019-06-11,349.3299865722656
2019-06-12,347.0299987792969
2019-06-13,348.8599853515625
