Date,Close
2008-06-19,9161.564
2008-06-20,9373.687
2008-06-23,9238.857
2008-06-24,9525.657
2008-06-25,9982.185
2008-06-26,9999.655
2008-06-27,9436.21
2008-06-30,9370.778
2008-07-01,9096.966
2008-07-02,9162.137
2008-07-03,9398.174
2008-07-04,9400.724
2008-07-07,9902.976
2008-07-08,9950.274
2008-07-09,10355.374
2008-07-10,10178.608
2008-07-11,10031.377
2008-07-14,10054.274
2008-07-15,9649.018
2008-07-16,9323.384
2008-07-17,9288.372
2008-07-18,9588.404
2008-07-21,9870.991
2008-07-22,9851.294
2008-07-23,9734.721
2008-07-24,10005.992
2008-07-25,9923.16
2008-07-28,9974.142
2008-07-29,9791.873
2008-07-30,9715.789
2008-07-31,9470.334
2008-08-01,9556.912
2008-08-04,9375.687
2008-08-05,9080.215
2008-08-06,9047.136
2008-08-07,9035.285
2008-08-08,8658.779
2008-08-11,8170.152
2008-08-12,8192.798
2008-08-13,8249.641
2008-08-14,8278.654
2008-08-15,8233.409
2008-08-18,7833.091
2008-08-19,7963.57
2008-08-20,8531.149
2008-08-21,8243.03
2008-08-22,8101.677
2008-08-25,8065.451
2008-08-26,7887.367
2008-08-27,7827.164
2008-08-28,7817.053
2008-08-29,8004.244
2008-09-01,7685.235
2008-09-02,7578.357
2008-09-03,7413.55
2008-09-04,7473.596
2008-09-05,7264.198
2008-09-08,7003.996
2008-09-09,7022.176
2008-09-10,7065.465
2008-09-11,6876.248
2008-09-12,6935.072
2008-09-16,6873.613
2008-09-17,6680.062
2008-09-18,6563.069
2008-09-19,7154.002
2008-09-22,7469.073
2008-09-23,7062.077
2008-09-24,7083.447
2008-09-25,7376.836
2008-09-26,7559.269
2008-10-06,7217.322
2008-10-07,7181.277
2008-10-08,6924.485
2008-10-09,6758.215
2008-10-10,6385.354
2008-10-13,6571.586
2008-10-14,6473.115
2008-10-15,6406.348
2008-10-16,6166.561
2008-10-17,6209.505
2008-10-20,6426.288
2008-10-21,6389.186
2008-10-22,6278.044
2008-10-23,6325.306
2008-10-24,6158.954
2008-10-27,5734.813
2008-10-28,5891.124
2008-10-29,5798.666
2008-10-30,5909.656
2008-10-31,5839.329
2008-11-03,5825.002
2008-11-04,5668.807
2008-11-05,5865.779
2008-11-06,5720.552
2008-11-07,5753.095
2008-11-10,6127.123
2008-11-11,6099.766
2008-11-12,6116.674
2008-11-13,6364.032
2008-11-14,6660.41
2008-11-17,6783.029
2008-11-18,6293.301
2008-11-19,6679.941
2008-11-20,6696.827
2008-11-21,6711.346
2008-11-24,6466.194
2008-11-25,6488.999
2008-11-26,6533.866
2008-11-27,6683.242
2008-11-28,6658.513
2008-12-01,6763.969
2008-12-02,6795.809
2008-12-03,7041.067
2008-12-04,7130.933
2008-12-05,7279.149
2008-12-08,7528.631
2008-12-09,7360.989
2008-12-10,7490.289
2008-12-11,7361.491
2008-12-12,7092.707
2008-12-15,7101.422
2008-12-16,7250.317
2008-12-17,7286.87
2008-12-18,7412.471
2008-12-19,7438.83
